"source_settlement_raw","municipality","original_region","mapping_source","event_date"
"אתר ההנצחה גולני","אתר ההנצחה גולני","?? ?????","unmapped_fallback","2026-03-19"
"בית ירח","בית ירח","?? ?????","unmapped_fallback","2026-03-19"
"בני יהודה וגבעת יואב","בני יהודה וגבעת יואב","?? ?????","unmapped_fallback","2026-03-19"
"דבוריה","דבוריה","?? ?????","unmapped_fallback","2026-03-19"
"כינרת מושבה","כינרת מושבה","?? ?????","unmapped_fallback","2026-03-19"
"כינרת קבוצה","כינרת קבוצה","?? ?????","unmapped_fallback","2026-03-19"
"פוריה כפר עבודה","פוריה כפר עבודה","?? ?????","unmapped_fallback","2026-03-19"
"פוריה עילית","פוריה עילית","?? ?????","unmapped_fallback","2026-03-19"
"שיבלי אום אלג'נם","שיבלי אום אלג'נם","?? ?????","unmapped_fallback","2026-03-19"
"אזור תעשייה בני יהודה","אזור תעשייה בני יהודה","?? ?????","unmapped_fallback","2026-03-19"
"גניגר","גניגר","?? ?????","unmapped_fallback","2026-03-19"
"חג'אג'רה","חג'אג'רה","?? ?????","unmapped_fallback","2026-03-19"
"כורזים ורד הגליל","כורזים ורד הגליל","?? ?????","unmapped_fallback","2026-03-19"
"בית סוהר צלמון","בית סוהר צלמון","?? ?????","unmapped_fallback","2026-03-19"
"הררית יחד","הררית יחד","?? ?????","unmapped_fallback","2026-03-19"
"מע'אר","מע'אר","?? ?????","unmapped_fallback","2026-03-19"
"כעביה טבאש","כעביה טבאש","?? ?????","unmapped_fallback","2026-03-19"
"לוטם וחמדון","לוטם וחמדון","?? ?????","unmapped_fallback","2026-03-19"
"בית עלמין תל רגב","בית עלמין תל רגב","?? ?????","unmapped_fallback","2026-03-19"
"כפר ח'וואלד","כפר ח'וואלד","?? ?????","unmapped_fallback","2026-03-19"
"סואעד חמירה","סואעד חמירה","?? ?????","unmapped_fallback","2026-03-19"
"החווה של מנחם","החווה של מנחם","?? ?????","unmapped_fallback","2026-03-19"
"חוות הרשאש","חוות הרשאש","?? ?????","unmapped_fallback","2026-03-19"
"חוות מגנזי","חוות מגנזי","?? ?????","unmapped_fallback","2026-03-19"
"יבוא דודי","יבוא דודי","?? ?????","unmapped_fallback","2026-03-19"
"חוות יאיר","חוות יאיר","?? ?????","unmapped_fallback","2026-03-19"
"הר ברכה","הר ברכה","?? ?????","unmapped_fallback","2026-03-19"
"חוות אביחי","חוות אביחי","?? ?????","unmapped_fallback","2026-03-19"
"גבעת פורת יוסף","גבעת פורת יוסף","?? ?????","unmapped_fallback","2026-03-19"
"החווה של יאיא","החווה של יאיא","?? ?????","unmapped_fallback","2026-03-19"
"חוות גנות","חוות גנות","?? ?????","unmapped_fallback","2026-03-19"
"חוות מגדלים","חוות מגדלים","?? ?????","unmapped_fallback","2026-03-19"
"חוות מרום שמואל","חוות מרום שמואל","?? ?????","unmapped_fallback","2026-03-19"
"חוות נווה צוף","חוות נווה צוף","?? ?????","unmapped_fallback","2026-03-19"
"חוות נוף אב""י","חוות נוף אב""י","?? ?????","unmapped_fallback","2026-03-19"
"חוות נחל שילה","חוות נחל שילה","?? ?????","unmapped_fallback","2026-03-19"
"חוות עולם חסד","חוות עולם חסד","?? ?????","unmapped_fallback","2026-03-19"
"חוות צרידה","חוות צרידה","?? ?????","unmapped_fallback","2026-03-19"
"חוות שדה","חוות שדה","?? ?????","unmapped_fallback","2026-03-19"
"חוות שוביאל","חוות שוביאל","?? ?????","unmapped_fallback","2026-03-19"
"חוות שחרית","חוות שחרית","?? ?????","unmapped_fallback","2026-03-19"
"מכינת אלישע","מכינת אלישע","?? ?????","unmapped_fallback","2026-03-19"
"חוות פריאל","חוות פריאל","?? ?????","unmapped_fallback","2026-03-19"
"חוות ראש תאנה","חוות ראש תאנה","?? ?????","unmapped_fallback","2026-03-19"
"אעירה השחר","אעירה השחר","?? ?????","unmapped_fallback","2026-03-19"
"חוות מעלה אהוביה","חוות מעלה אהוביה","?? ?????","unmapped_fallback","2026-03-19"
"הר חלוץ","הר חלוץ","?? ?????","unmapped_fallback","2026-03-19"
"צורית גילון","צורית גילון","?? ?????","unmapped_fallback","2026-03-19"
"בית ספר שדה מירון","בית ספר שדה מירון","?? ?????","unmapped_fallback","2026-03-19"
"לוטם וחמדון","לוטם וחמדון","?? ?????","unmapped_fallback","2026-03-19"
"מע'אר","מע'אר","?? ?????","unmapped_fallback","2026-03-19"
"מרכז אזורי מרום גליל","מרכז אזורי מרום גליל","?? ?????","unmapped_fallback","2026-03-19"
"מרכז אזורי רמת כורזים","מרכז אזורי רמת כורזים","?? ?????","unmapped_fallback","2026-03-19"
